137285
137350A
138319P
139454A
140092A
140274
140328
140879
140902G
140926
140927
140963A
140975A
141001
141018
141018A
141018B
141018V
141019
141019A
141019B
141184
141200,54 (#)
141222
141229
141244P
141253
141264
141266,3600 (#)
141268
141276A
141283
141306
141705
141707
141716
141719,9000 (#)
141733A,1600 (#)
141742L
141742V,9000 (#)
141746
141750P
141763
141765
141773R
141780R
141796A
141797
141813
141821V
141825P,5000 (#)
141829A
141834
141837A
141838
141839
141854A
141854P
141856
141863
141864
141864A
141867
141868
141868C
141869
141876C
141876P
141878
141883V
141884G
141889
141890P
141895
141899
143002A
143004C
143008
143016
143023
143024
143028
143038
143039A
143040
143049
143053
143058
143059
143060
143064
143065
143072
143079
143085A
143085V
143089
143090
143091A
143094A
143095A
143095C
143095V
143096A
143096T
143098
143106
143107C
143108
143113P
143114
143115B
143119
143122
143123P
143127
143129
143132A
143132P
143133
143137
143138P
143142
143143A
143143P
143143V
143144
143145
143147A
143147P
143150
143151A
143151P
143158B
143159P,6000 (#)
143160
143161
143165A
143165I
143166
143168P
143170A
143171A
143171G
143171P
143176C,50000 (#)
143180
143185
143186A
143186P
143190
