140310,3600 (#)
140902A,4800 (#)
140902T,4800 (#)
140923
140924
141244P
141264
141268
141275M,2400 (#)
141705
141750P
141834
141858
141890P
143002A,2400 (1403)
143004P
143006
143024
143027,12000 (#)
143064
143089
143145
143152
