141018
141018A,6000 (#)
141018B
141018G
141018V
141200
141268
141306
141307,5000 (#)
141716
141861,50000 (#)
141864
141864A,20000 (#)
141864C
141864V
141872,10000 (#)
141876C
141876P
141887A,4800 (#)
143002A
143004
143004C
143004P
143020A
143020P
143020V
143058,2400 (1342)
143104
143104P
143123A
143123P
143175
143176A,100000 (#)
143176B
143176C
143176G
143176GG
143176L
143176V,77500 (1343)
143176Y
143184
