140902A,4800 (#)
140902G
140902T,4800 (#)
140923,6000 (#)
141184
141244P
141306
141786A
141808,18000 (#)
141813
141854A
141868C
141876C
141878
143004C
143004P,3600 (#)
143005
143027
143027A
143045,15000 (#)
143049
143072
143079
143106
143107P,2400 (#)
143128
143129
143130C,20000 (#)
143133
143138P
143140A
143146
143147A
143151
143152,4800 (#)
143153
143159B,6000 (1407)
143159L,6000 (1407)
143159P,6000 (1407)
143160
143171A
143171G
143171P
143176GG
143176C, 50500 (1406)
143176L,1 (sryeh)
143176Y
143186A
143186P
