139388
140879
140922,9999 (sryeh)
141184
141266,3600 (#)
141716
141742L
141806
141861,50000 (#)
141869,3600 (1404)
141883P,4800 (#)
143016
143035,30000 (#)
143064
143066
143067
143072
143085V
143089
143091A
143091C,2400 (1404)
143091V,2400 (1404)
143102
143107C
143107P,9999 (sryeh)
143127
143128
143133
143147G
143159B,6000 (#)
143159L,6000 (#)
143159P,6000 (#)
143160
