138499
138499A
138499C
138499M
138499P
140117,10000 (sryeh),0 (#)
140117R
140117S
140117V
140153B
140310,3600 (#)
140328
140395,3000 (#)
140879
140924
140926
141018
141018A,6000 (#)
141018B
141018G
141018V
141200,900 (#)
141264
141268
141283,2400 (#)
141295,144 (1344),19488 (#)
141707
141733
141733A
141742,0 (sryeh),1500 (1345),27960 (#)
141742A
141742B,6000 (sryeh),6000 (#)
141742G
141742L
141742P
141742V
141742W
141742Y,1080 (#)
141773
141773B
141773C
141773P,6000 (#)
141773R
141773V
141780
141780B
141780C
141780D
141780R,24000 (#)
141808
141823
141825
141825P,5000 (#)
141837
141837A
141837S
141837V
141838,60000 (1344)
141838A
141838S
141838V,20000 (1344)
141854A
141854P,12000 (sryeh),0 (#)
141864
141864A,20000 (#)
141864C
141864V
141868,4560 (1344),1440 (1345)
141868C
141872,10000 (#)
141890
141890P
141899,6000 (#)
141900,2736 (1345),864 (#)
143002
143002A,2400 (#)
143005,15000 (sryeh),0 (#)
143020A,10000 (#)
143020P
143020V,10000 (#)
143036
143040,5000 (#)
143045
143072
143077
143092
143096A
143096T
143096V
143099,40800 (#)
143099A
143099V
143107C
143107G
143107P
143123A
143123P
143132A,16000 (#)
143132P,32000 (1345)
143132V,16000 (#)
143135,1200 (#)
143139A
143139P
143139S
143139V
143140A
143140P
143140S
143140V
143142
143142P
143143A,12000 (sryeh),0 (#)
143143P,10200 (1344),1800 (1345)
143143V
143144,3600 (#)
143147A
143147G
143147P,6000 (#)
143147V
143159A
143159B
143159C
143159L
143159P
143159V
143162
143170A
143170G
143170L
143170P
143170V
143171A
143171G
143171L
143171P
143171V
143176A,101500 (1345)
143176B
143176C
143176G,50000 (#)
143176GG
143176L,50000 (#)
143176V,50000 (#)
143176Y,25000 (#)
143184
143201A,48000 (#)
