138499
138499A
138499C
138499M
138499P
139547A,96000 (#)
140252
140275
140276
140310,3600 (#)
140873
140873A,13500 (#)
140873P,34500 (#)
140873S,87000 (#)
140873V,6000 (#)
141001
141266,3600 (#)
141284
141306
141719,15000 (sryeh)
141823
141872,10000 (#)
141883B
141883P
141883V
141884A
141884G
141884T
141884V
141900,3600 (#)
143002A
143005
143042
143092
143104
143104P
143122
143131
143132A,16000 (#)
143132P,32000 (#)
143132V,16000 (#)
143135,1200 (#)
143137
143138A,9600 (#)
143138P,9600 (#)
143138V
143142
143142P
143143A
143143P
143143V,12000 (#)
143147A
143147G
143147P,6000 (#)
143147V
143165I
143166
143171A
143171G
143171L
143171P
143171V
143175
143176A
143176B
143176C
143176G
143176GG
143176L
143176V,75000 (#)
143176Y
143187A
143187S
143187V
143204
